name,region,gl_type,region_type,area,volume,lat,lon
IC_1532, CW, LT, ice_cap, 0.02,      0, 69.49572, -52.99778 
IC_1531, CE, LT, ice_cap, 8.29,      0, 68.68996, -27.11517 
IC_1533, CW, LT, ice_cap, 0.01,      0, 69.48700, -52.68259 
IC_1535, CW, LT, ice_cap, 6.00,      0, 69.36034, -53.36448 
IC_1536, CW, LT, ice_cap, 0.01,      0, 69.35336, -53.32011 
IC_1537, CW, LT, ice_cap, 0.01,      0, 69.36346, -53.08598 
IC_1539, CW, LT, ice_cap, 0.01,      0, 69.29706, -53.70071 
IC_1540, CW, LT, ice_cap, 0.01,      0, 69.29151, -53.61906 
IC_1538, CW, LT, ice_cap, 5.93,      0, 69.31071, -53.35953 
IC_1541, CW, LT, ice_cap, 0.01,      0, 69.28625, -53.59892 
IC_1544, CE, LT, ice_cap, 0.01,      0, 68.39689, -29.00357 
IC_1543, CE, LT, ice_cap, 5.78,      0, 68.40323, -29.02741 
IC_1545, CE, LT, ice_cap, 0.01,      0, 68.39665, -29.05411 
IC_1542, CE, LT, ice_cap, 13.34,      0, 68.43254, -29.07104 
IC_1548, CE, LT, ice_cap, 11.91,      0, 68.35339, -29.29527 
IC_1547, CE, LT, ice_cap, 16.14,      0, 68.39314, -29.67012 
IC_1549, CE, LT, ice_cap, 5.54,      0, 68.32445, -29.19970 
IC_1551, CE, LT, ice_cap, 29.71,      0, 68.29147, -29.52629 
IC_1552, CE, LT, ice_cap, 7.44,      0, 68.29534, -29.42313 
IC_1553, CE, LT, ice_cap, 0.01,      0, 68.27599, -29.56948 
IC_1557, CE, LT, ice_cap, 0.01,      0, 68.49669, -32.78100 
IC_1556, CE, LT, ice_cap, 5.67,      0, 68.23067, -29.86254 
IC_1559, CE, LT, ice_cap, 0.02,      0, 68.39621, -32.02543 
IC_1560, CE, LT, ice_cap, 0.02,      0, 68.39574, -32.03069 
IC_1558, CE, LT, ice_cap, 8.28,      0, 68.22296, -30.19963 
IC_1561, CE, LT, ice_cap, 6.88,      0, 68.22138, -30.32544 
IC_1563, CE, LT, ice_cap, 0.01,      0, 68.34052, -31.77144 
IC_1564, CE, LT, ice_cap, 0.01,      0, 68.35392, -31.95885 
IC_1566, CE, LT, ice_cap, 0.01,      0, 68.35245, -31.95234 
