id,sector_id,name,region,sector_type,gl_type,area,volume,lat,lon
125,150,KRONBORG,CE,TW, ice_sheet, 2444.2, 1544.85, 68.88452, -28.83867 
126,021,KIATTUUT-QOOQQUP,SW,TW, ice_sheet, 2386.5, 1154.08, 61.51639, -44.49764 
127,460,IC_1659,SW,LT, ice_cap, 2341.4, 1341.78, 66.00132, -50.96193 
128,254,IC_6,NO,LT, ice_cap, 2315.1, 1289.82, 83.34059, -35.99548 
129,064,MOGENS_HEINESEN_S,SE,TW, ice_sheet, 2305.0, 1912.85, 62.32957, -43.73951 
130,056,NO_NONAME3,NO,LT, ice_sheet, 2297.2, 1474.22, 80.76591, -29.54578 
131,191,GYLDENLOVE,SE,TW, ice_sheet, 2271.7, 1725.76, 64.25153, -42.36287 
132,400,IC_1110,CE,LT, ice_cap, 2205.4, 1073.12, 71.22492, -26.77221 
133,016,SW_NONAME1,SW,LT, ice_sheet, 2130.4, 924.96, 61.01855, -44.52311 
134,456,IC_1637,SW,LT, ice_cap, 2092.1, 849.30, 66.19541, -52.17209 
135,237,MOGENS_HEINESEN_N,SE,TW, ice_sheet, 2024.2, 2363.75, 62.60384, -44.19664 
136,041,NONAME_NORTH_OSCAR,NW,TW, ice_sheet, 1781.2, 2401.06, 76.86323, -58.28020 
137,210,IKERTIVAQ_N,SE,TW, ice_sheet, 1744.2, 2970.41, 66.32836, -41.25951 
138,205,SORTEBRAE,CE,LT, ice_sheet, 1640.2, 70.00, 68.96939, -27.23592 
139,071,EQIP_SERMIA,CW,TW, ice_sheet, 1640.1, 2898.41, 70.17551, -45.98284 
140,043,RINK_GLETSCHER,NW,TW, ice_sheet, 1634.8, 2251.53, 76.97432, -59.75838 
141,048,HARALD_MOLTKE_BRAE,NW,TW, ice_sheet, 1579.8, 70.00, 76.60355, -66.53184 
142,136,AVANNARLEQ_N,SW,LT, ice_sheet, 1575.3, 70.00, 62.57682, -48.43501 
143,249,KRUUSE_FJORD,CE,TW, ice_sheet, 1561.7, 70.00, 67.15358, -34.44856 
144,413,IC_1203,CE,LT, ice_cap, 1521.2, 70.00, 70.74194, -26.63111 
145,074,SORGENFRI,CE,TW, ice_sheet, 1475.6, 70.00, 68.56357, -30.97882 
146,149,ROSENBORG,CE,TW, ice_sheet, 1360.4, 70.00, 68.65740, -29.32467 
147,258,IC_75,NO,LT, ice_cap, 1340.4, 70.00, 82.88717, -31.17679 
148,053,NO_NONAME2,NO,LT, ice_sheet, 1319.5, 70.00, 81.20768, -46.93676 
149,153,BREDEGLETSJER,CE,TW, ice_sheet, 1270.4, 70.00, 70.08373, -25.21067 
150,303,IC_371,NE,LT, ice_cap, 1205.1, 70.00, 80.80588, -21.37577 
151,156,GEIKIE6,CE,TW, ice_sheet, 1204.0, 70.00, 68.97509, -26.45361 
152,072,SE_NONAME2,SE,TW, ice_sheet, 1178.7, 70.00, 63.93194, -40.88377 
153,050,NO_NONAME1,NO,LT, ice_sheet, 1177.9, 70.00, 79.88795, -60.65310 
154,152,SYDBR,CE,LT, ice_sheet, 1164.4, 70.00, 70.03028, -26.30442 
155,203,CHARCOT,CE,LT, ice_sheet, 1152.2, 1275.35, 72.27052, -30.49717 
156,103,MELVILLE_GLETSCHER,NW,TW, ice_sheet, 1144.7, 70.00, 77.96167, -66.34438 
157,147,DOCKER_SMITH_GLETSCHER_W,NW,TW, ice_sheet, 1143.7, 70.00, 76.63216, -61.39269 
158,214,BRIKKERNE_GLETSCHER,NO,TW, ice_sheet, 1123.8, 70.00, 81.72372, -43.21756 
159,107,MOGENS_HEINESEN_SS_SSS,SE,TW, ice_sheet, 1120.2, 70.00, 62.23962, -42.77438 
160,108,HARDER_GLETSCHER,NO,TW, ice_sheet, 1111.1, 70.00, 81.52729, -43.14833 
161,185,NONAME_IKERTIVAQ_N,SE,TW, ice_sheet, 1088.6, 70.00, 65.97648, -39.42957 
162,405,IC_1120,CE,LT, ice_cap, 1065.0, 70.00, 71.37793, -28.32808 
163,121,UNNAMED_LAUBE_S,CE,TW, ice_sheet, 1061.1, 70.00, 66.92707, -34.69177 
164,120,MAELKEVEJEN,SE,TW, ice_sheet, 1053.9, 70.00, 63.70276, -42.14860 
165,114,UNNAMED_HERLUF_TROLLE_N,SE,TW, ice_sheet, 1020.5, 70.00, 61.39187, -43.70276 
166,044,CARLOS,NW,TW, ice_sheet, 1001.4, 70.00, 76.65670, -63.57377 
167,324,IC_516,NE,LT, ice_cap, 997.1, 70.00, 79.90309, -18.34836 
168,319,IC_467,NE,LT, ice_cap, 992.0, 70.00, 80.35825, -19.32614 
169,201,BUSSEMAND,SE,LT, ice_sheet, 988.8, 70.00, 65.82405, -38.84594 
170,061,UNNAMED_KANGER_W,CE,TW, ice_sheet, 975.9, 70.00, 68.46266, -33.55061 
171,123,UNNAMED_POLARIC_S,CE,TW, ice_sheet, 967.4, 70.00, 67.88313, -33.64311 
172,163,BOWDOIN,NW,TW, ice_sheet, 913.5, 70.00, 77.88342, -67.99962 
173,441,IC_1470,CW,LT, ice_cap, 881.5, 70.00, 69.69897, -52.97907 
174,462,IC_1686,SW,LT, ice_cap, 875.6, 70.00, 65.79323, -52.13440 
175,087,SE_NONAME1,SE,TW, ice_sheet, 872.8, 70.00, 65.24248, -40.25136 
176,248,UNNAMED_DECEPTION_N,CE,TW, ice_sheet, 869.9, 70.00, 68.14903, -32.62348 
177,184,SAVISSUAQ,NW,TW, ice_sheet, 853.7, 70.00, 76.50995, -65.30042 
178,209,NAPASORSUAQ_N,SE,TW, ice_sheet, 830.4, 70.00, 61.89359, -43.09977 
179,196,YNGVAR_NIELSEN_BRAE,NW,TW, ice_sheet, 821.9, 70.00, 76.61642, -64.15844 
180,225,MOGENS_HEINESEN_C,SE,TW, ice_sheet, 814.3, 70.00, 62.48655, -43.79683 
181,321,IC_464,NO,LT, ice_cap, 811.8, 70.00, 80.75635, -64.19100 
182,314,IC_434,NE,LT, ice_cap, 808.6, 70.00, 80.34249, -17.12572 
183,317,IC_443,NO,LT, ice_cap, 787.1, 70.00, 80.93794, -62.58001 
184,113,UNNAMED_HERLUF_TROLLE_S,SE,TW, ice_sheet, 778.5, 70.00, 61.22169, -43.61224 
185,220,CW_NONAME1,CW,LT, ice_sheet, 747.4, 70.00, 69.63531, -49.62767 
186,112,UNNAMED_KANGERLULUK,SE,TW, ice_sheet, 738.5, 70.00, 61.10583, -43.91087 
187,198,HEIM_GLETSCHER,SE,TW, ice_sheet, 735.4, 70.00, 66.05749, -38.70049 
188,131,SERMILIK,SW,TW, ice_sheet, 722.4, 70.00, 61.28492, -46.95796 
189,089,SE_NONAME6,SE,LT, ice_sheet, 714.2, 70.00, 63.03645, -42.36320 
190,195,HELLAND,NW,TW, ice_sheet, 713.6, 70.00, 76.26796, -65.06313 
191,111,HERLUF_TROLLE-KANGERLULUK-DANELL,SE,TW, ice_sheet, 694.3, 70.00, 61.00046, -43.16967 
192,066,KOGE_BUGT_SS,SE,TW, ice_sheet, 694.0, 70.00, 64.81471, -41.64764 
193,119,UNNAMED_DANELL_FJORD,SE,TW, ice_sheet, 691.4, 70.00, 60.93886, -43.82172 
194,251,KNUD-RASMUSSEN,SE,LT, ice_sheet, 684.8, 70.00, 66.25311, -36.24747 
195,166,VERHOEFF,NW,LT, ice_sheet, 673.5, 70.00, 78.00738, -69.22466 
196,455,IC_1634,NO,LT, ice_cap, 659.3, 70.00, 66.17991, -36.73463 
197,127,FIMBULGETLSCHER,SE,TW, ice_sheet, 657.1, 70.00, 63.92860, -41.32532 
198,024,UPERNAVIK_ISSTROM_SS,NW,TW, ice_sheet, 644.4, 70.00, 72.70900, -53.56472 
199,190,APUSEERSERPIA,SE,TW, ice_sheet, 635.6, 70.00, 64.41344, -41.03219 
200,117,UNNAMED_ANORITUUP_KANGERLUA_S,SE,TW, ice_sheet, 625.9, 70.00, 61.46977, -43.32399 
201,377,IC_893,NE,LT, ice_cap, 601.2, 70.00, 73.30015, -27.49513 
202,250,GLACIERDEFRANCE,SE,TW, ice_sheet, 585.3, 70.00, 66.51172, -35.99497 
203,171,MORRIS_JESUP,NW,TW, ice_sheet, 577.0, 70.00, 78.01931, -70.53425 
204,425,IC_1335,CE,LT, ice_cap, 565.7, 70.00, 70.25690, -27.84572 
205,390,IC_1002,NE,LT, ice_cap, 547.4, 70.00, 72.19238, -26.19095 
206,278,IC_237,NO,LT, ice_cap, 544.9, 70.00, 81.99492, -32.59030 
207,253,IC_1,NO,LT, ice_cap, 543.8, 70.00, 83.39512, -28.60350 
208,135,NAAJAT_SERMIAT,SW,TW, ice_sheet, 539.9, 70.00, 61.39089, -46.75494 
209,065,NAPASORSUAQ_C_S,SE,TW, ice_sheet, 539.9, 70.00, 61.65689, -42.75153 
210,378,IC_908,NE,LT, ice_cap, 537.0, 70.00, 73.01440, -26.64643 
211,371,IC_857,NE,LT, ice_cap, 531.9, 70.00, 73.68611, -26.02010 
212,182,SAVISSUAQ_WWWW,NW,TW, ice_sheet, 530.8, 70.00, 76.25359, -67.81861 
213,134,QALERALLIT_SERMIAT,SW,LT, ice_sheet, 510.4, 70.00, 61.37128, -46.86548 
214,395,IC_1044,CE,LT, ice_cap, 494.5, 70.00, 71.93274, -27.33857 
215,280,IC_236,NO,LT, ice_cap, 484.7, 70.00, 81.87385, -28.37655 
216,208,PUISORTOQ_S,SE,TW, ice_sheet, 482.1, 70.00, 61.95720, -42.76742 
217,084,KANGERLUARSUUP_SERMIA,CW,TW, ice_sheet, 481.1, 70.00, 71.20482, -50.73991 
218,313,IC_348,NE,LT, ice_cap, 480.9, 70.00, 81.50907, -29.89043 
219,245,STYRTE,CE,TW, ice_sheet, 472.7, 70.00, 68.78965, -32.28292 
220,115,UNNAMED_ANORITUUP_KANGERLUA_SS,SE,TW, ice_sheet, 467.9, 70.00, 61.40653, -42.78832 
221,228,GEIKIE7,CE,TW, ice_sheet, 465.7, 70.00, 69.17705, -25.91693 
222,308,IC_392,NO,LT, ice_cap, 461.8, 70.00, 81.52409, -52.87966 
223,102,FARQUHAR_GLETSCHER,NW,TW, ice_sheet, 459.2, 70.00, 77.90099, -65.59485 
224,148,GEIKIE4,CE,LT, ice_sheet, 458.7, 70.00, 68.55718, -29.70236 
225,194,YNGVAR_NIELSEN_BRAE_W,NW,TW, ice_sheet, 453.5, 70.00, 76.59338, -64.62747 
226,244,NORDFJORD,CE,LT, ice_sheet, 440.6, 70.00, 68.77626, -32.67331 
227,416,IC_1263,CW,LT, ice_cap, 438.8, 70.00, 71.57688, -51.64554 
228,096,UNNAMED_KANGER_E,CE,TW, ice_sheet, 431.7, 70.00, 68.37418, -33.04612 
229,224,TUGTO,NW,LT, ice_sheet, 416.4, 70.00, 77.86675, -68.74665 
230,252,NIGERTULUUP_KATTILERTARPIA,SE,TW, ice_sheet, 414.9, 70.00, 66.52183, -35.31469 
231,132,ILORLIIT-SERMINNGUAQ,SW,LT, ice_sheet, 413.7, 70.00, 61.19016, -46.40268 
232,334,IC_607,NE,LT, ice_cap, 390.4, 70.00, 79.37486, -20.89652 
233,265,IC_140,NO,LT, ice_cap, 378.2, 70.00, 82.77089, -35.09631 
234,431,IC_1390,CW,LT, ice_cap, 374.8, 70.00, 70.42775, -51.92485 
235,300,IC_338,NO,LT, ice_cap, 374.0, 70.00, 81.59925, -31.16201 
236,275,IC_213,NO,LT, ice_cap, 371.9, 70.00, 82.27497, -51.09365 
237,090,SE_NONAME7,SE,LT, ice_sheet, 369.5, 70.00, 61.86417, -42.38905 
238,372,IC_870,NE,LT, ice_cap, 353.7, 70.00, 73.47441, -26.03312 
239,204,GEIKIE5,CE,LT, ice_sheet, 334.4, 70.00, 68.70830, -27.65676 
240,350,IC_730,NE,LT, ice_cap, 320.2, 70.00, 76.08489, -21.25930 
241,246,COURTAULD,CE,TW, ice_sheet, 319.2, 70.00, 68.59960, -32.06471 
242,360,IC_778,NE,LT, ice_cap, 317.7, 70.00, 74.88210, -22.15132 
243,392,IC_1001,CE,LT, ice_cap, 317.1, 70.00, 71.99508, -24.29009 
244,100,UNNAMED_SORGENFRI_W,CE,LT, ice_sheet, 313.3, 70.00, 68.22185, -30.90541 
245,173,DIEBITSCH,NW,TW, ice_sheet, 306.9, 70.00, 78.04342, -71.38455 
246,342,IC_674,NW,LT, ice_cap, 304.3, 70.00, 77.58390, -69.15080 
